x,y,error,timestamp,targetX,targetY
900.68,46.42,undefined,9110.5,903.41,45.88
918.79,46.38,undefined,9141.799999952316,905.72,45.96
931.95,47.12,undefined,9185.900000095367,909.65,46.13
917.55,59.78,undefined,9231.299999952316,910.84,48.18
898.11,71.31,undefined,9268.799999952316,908.93,51.65
893.53,68.84,undefined,9312.900000095367,906.62,54.23
784.42,103.77,undefined,9360.900000095367,888.29,61.66
728.86,119.57,undefined,9402.299999952316,864.37,70.34
683.73,132.16,undefined,9441.299999952316,837.28,79.62
426.92,175.91,undefined,9487.200000047684,775.72,94.06
295.96,234.04,undefined,9528.299999952316,703.76,115.06
154.69,294.14,undefined,9570.400000095367,621.40,141.92
119.92,316.42,undefined,9615.900000095367,546.18,168.10
92.32,342.55,undefined,9654,478.10,194.26
105.85,343.23,undefined,9699.799999952316,422.26,216.61
95.95,356.84,undefined,9744.799999952316,373.31,237.64
24.96,410.92,undefined,9788.400000095367,321.06,263.63
6.80,379.15,undefined,10178.099999904633,273.92,280.96
12.34,381.92,undefined,10227.700000047684,234.68,296.10
21.29,373.89,undefined,10282.099999904633,202.68,307.77
31.61,368.15,undefined,10318.599999904633,177.02,316.83
25.56,363.42,undefined,10355.799999952316,154.30,323.82
26.06,362.00,undefined,10412,135.06,329.54
57.85,334.89,undefined,10461.400000095367,123.48,330.35
56.78,341.42,undefined,10511,113.47,332.01
55.48,347.92,undefined,10560.799999952316,104.78,334.39
73.70,336.37,undefined,10612.200000047684,100.12,334.69
83.98,331.81,undefined,10651.799999952316,97.69,334.26
68.38,329.94,undefined,10698.099999904633,93.30,333.61
46.40,340.84,undefined,10747.900000095367,86.26,334.70
48.39,345.81,undefined,10789.200000047684,80.58,336.36
44.75,352.56,undefined,10845,75.21,338.79
37.57,329.55,undefined,10884.599999904633,69.56,337.41
50.98,326.16,undefined,10921,66.77,335.72
51.89,340.63,undefined,10958.5,64.54,336.46
57.89,345.93,undefined,10995,63.54,337.88
64.52,354.67,undefined,11043.799999952316,63.69,340.40
46.73,364.93,undefined,11094.799999952316,61.15,344.08
31.66,373.72,undefined,11129.400000095367,56.72,348.52
37.28,375.36,undefined,11185.5,53.81,352.55
75.64,390.97,undefined,11238.599999904633,57.08,358.31
61.88,395.21,undefined,11288.599999904633,57.80,363.85
47.86,393.24,undefined,11332.200000047684,56.31,368.25
34.99,391.77,undefined,11368.400000095367,53.11,371.78
52.41,392.67,undefined,11406.5,53.01,374.91
129.80,397.79,undefined,11444.799999952316,64.53,378.35
169.11,404.17,undefined,11487.5,80.21,382.22
173.44,406.61,undefined,11544.099999904633,94.20,385.88
185.78,423.71,undefined,11598,107.94,391.55
143.10,422.15,undefined,11642.5,113.21,396.14
148.43,421.25,undefined,11687.200000047684,118.49,399.91
117.54,419.71,undefined,11729.799999952316,118.35,402.88
135.16,416.95,undefined,11776.5,120.87,404.99
156.43,417.16,undefined,11817.400000095367,126.20,406.81
139.66,411.35,undefined,11858.400000095367,128.22,407.49
106.75,412.76,undefined,11910.900000095367,125.00,408.28
138.46,407.60,undefined,11960.700000047684,127.02,408.18
195.36,407.85,undefined,12003.900000095367,137.27,408.13
168.12,402.06,undefined,12047.900000095367,141.90,407.22
149.04,394.27,undefined,12084.099999904633,142.97,405.28
121.56,384.62,undefined,12126.5,139.76,402.18
102.79,382.13,undefined,12165.400000095367,134.21,399.17
84.85,381.41,undefined,12207.299999952316,126.81,396.51
68.38,381.67,undefined,12260.799999952316,118.04,394.28
55.22,383.76,undefined,12310.900000095367,108.62,392.70
61.25,387.35,undefined,12360.5,101.52,391.90
50.95,393.21,undefined,12410.900000095367,93.93,392.10
80.41,389.38,undefined,12460.5,91.90,391.69
91.13,391.07,undefined,12511.299999952316,91.79,391.60
96.27,390.72,undefined,12560.400000095367,92.46,391.46
93.85,390.70,undefined,12611.400000095367,92.67,391.35
127.05,395.14,undefined,12653.900000095367,97.83,391.92
170.16,328.53,undefined,12701.599999904633,108.67,382.41
247.05,259.27,undefined,12738.5,129.43,363.94
336.05,246.23,undefined,12785.099999904633,160.42,346.28
417.21,262.88,undefined,12824.900000095367,198.94,333.77
480.10,230.07,undefined,12867.599999904633,241.11,318.22
516.65,256.98,undefined,12909,282.45,309.03
544.03,263.29,undefined,12950.900000095367,321.68,302.17
544.85,269.67,undefined,12994.599999904633,355.16,297.30
557.38,276.92,undefined,13043.5,385.49,294.24
557.99,289.37,undefined,13093.900000095367,411.36,293.51
559.30,270.46,undefined,13133.299999952316,433.55,290.05
578.98,268.33,undefined,13172.799999952316,455.37,286.79
585.90,287.84,undefined,13227,474.95,286.95
569.73,292.22,undefined,13276.599999904633,489.16,287.74
549.60,278.65,undefined,13331.099999904633,498.23,286.38
499.25,304.19,undefined,13381.799999952316,498.38,289.05
499.15,317.93,undefined,13419.700000047684,498.50,293.38
517.14,349.98,undefined,13479.299999952316,501.29,301.87
532.43,376.74,undefined,13526.900000095367,505.97,313.10
474.20,376.80,undefined,13578.5,501.20,322.66
480.20,384.49,undefined,13626.900000095367,498.05,331.93
506.26,405.12,undefined,13680.599999904633,499.28,342.91
526.17,399.64,undefined,13730.400000095367,503.31,351.42
533.79,386.93,undefined,13770.5,507.89,356.75
533.55,356.86,undefined,13821.599999904633,511.74,356.76
541.73,349.80,undefined,13879.099999904633,516.24,355.72
526.53,335.43,undefined,13918.599999904633,517.78,352.68
524.37,346.11,undefined,13955,518.77,351.69
530.73,340.09,undefined,14003.700000047684,520.56,349.95
542.58,357.08,undefined,14050,523.86,351.02
541.46,369.88,undefined,14097,526.50,353.85
594.58,388.76,undefined,14143.799999952316,536.71,359.09
608.55,397.95,undefined,14183.900000095367,547.49,364.92
626.09,392.61,undefined,14229.099999904633,559.28,369.07
703.91,337.95,undefined,14277.200000047684,580.98,364.40
771.10,326.61,undefined,14320.299999952316,609.49,358.73
787.29,343.67,undefined,14365,636.16,356.47
796.28,333.17,undefined,14412.700000047684,660.18,352.98
874.20,347.53,undefined,14455.200000047684,692.28,352.16
872.32,331.08,undefined,14498,719.29,349.00
889.88,367.97,undefined,14542.799999952316,744.88,351.84
912.25,337.38,undefined,14587.5,769.98,349.67
935.20,318.40,undefined,14630.700000047684,794.77,344.98
946.14,317.94,undefined,14679.900000095367,817.47,340.93
955.29,307.87,undefined,14728.200000047684,838.15,335.97
970.20,306.32,undefined,14778.799999952316,857.95,331.52
978.74,318.38,undefined,14821,876.07,329.55
992.16,304.00,undefined,14879.299999952316,893.49,325.72
997.36,345.39,undefined,14923.700000047684,909.07,328.67
973.14,340.18,undefined,14980.900000095367,918.68,330.39
950.82,335.41,undefined,15022.299999952316,923.50,331.15
962.71,330.38,undefined,15080.700000047684,929.38,331.03
972.29,326.01,undefined,15123.299999952316,935.82,330.28
980.31,330.43,undefined,15180,942.49,330.30
967.05,324.58,undefined,15220.299999952316,946.17,329.44
950.85,325.89,undefined,15280.599999904633,946.88,328.91
936.68,330.76,undefined,15321.5,945.35,329.19
914.88,319.52,undefined,15380,940.78,327.74
899.93,310.45,undefined,15430.599999904633,934.65,325.14
901.89,319.92,undefined,15471.799999952316,929.74,324.36
920.47,338.21,undefined,15526.200000047684,928.35,326.44
952.01,356.98,undefined,15571.200000047684,931.90,331.02
960.40,369.31,undefined,15628.700000047684,936.17,336.76
965.82,380.05,undefined,15671.200000047684,940.62,343.26
980.94,385.91,undefined,15721.5,946.67,349.65
938.07,394.09,undefined,15770.5,945.38,356.32
924.77,445.61,undefined,15829.700000047684,942.28,369.71
881.67,463.00,undefined,15884.900000095367,933.19,383.71
744.63,514.48,undefined,15936.099999904633,904.91,403.32
610.32,520.04,undefined,15993.200000047684,860.72,420.83
448.82,593.48,undefined,16045.599999904633,798.94,446.73
374.36,575.16,undefined,16088.700000047684,735.25,465.99
274.32,628.65,undefined,16141,666.11,490.39
171.59,645.00,undefined,16192.900000095367,591.93,513.58
88.63,641.77,undefined,16239.099999904633,516.44,532.81
24.61,654.47,undefined,16286.5,442.66,551.06
15.58,670.45,undefined,16329.200000047684,378.60,568.97
0.69,722.36,undefined,16725.700000047684,321.91,591.98
56.51,721.04,undefined,16778.900000095367,282.10,611.34
84.74,701.36,undefined,16830.700000047684,252.50,624.84
110.64,672.49,undefined,16875.200000047684,231.22,631.99
108.15,672.60,undefined,16924.700000047684,212.76,638.08
100.78,687.68,undefined,16977.5,195.96,645.52
92.84,698.41,undefined,17025.700000047684,180.49,653.45
100.33,702.01,undefined,17077.599999904633,168.47,660.74
106.48,693.35,undefined,17125,159.17,665.63
99.10,699.10,undefined,17178.599999904633,150.16,670.65
83.04,668.34,undefined,17230.400000095367,140.09,670.30
76.00,676.08,undefined,17270.799999952316,130.48,671.17
57.04,685.41,undefined,17326.5,119.46,673.31
62.34,660.57,undefined,17377.5,110.90,671.40
68.14,640.00,undefined,17425.900000095367,104.48,666.69
90.67,662.47,undefined,17478,102.41,666.05
85.94,633.35,undefined,17525.900000095367,99.94,661.15
87.46,635.78,undefined,17569.099999904633,98.07,657.34
77.64,637.75,undefined,17616.900000095367,95.00,654.41
146.13,659.08,undefined,17656.599999904633,102.67,655.11
133.75,671.09,undefined,17704.099999904633,107.33,657.50
215.04,679.99,undefined,17749.200000047684,123.49,660.88
225.83,650.71,undefined,17792.099999904633,138.84,659.35
306.56,662.67,undefined,17833.799999952316,164.00,659.85
387.96,629.09,undefined,17881.700000047684,197.59,655.24
454.21,600.52,undefined,17928.5,236.09,647.03
515.27,618.41,undefined,17975.799999952316,277.96,642.74
570.09,615.99,undefined,18020.799999952316,321.78,638.72
612.43,613.14,undefined,18067.099999904633,365.38,634.89
667.77,603.07,undefined,18115.900000095367,410.74,630.11
658.30,608.83,undefined,18157.799999952316,447.87,626.92
638.32,603.03,undefined,18208.900000095367,476.44,623.34
603.52,593.49,undefined,18259.400000095367,495.50,618.86
590.08,587.63,undefined,18309.900000095367,509.69,614.18
597.71,579.23,undefined,18357.400000095367,522.89,608.93
565.17,591.99,undefined,18413.200000047684,529.23,606.39
541.01,606.84,undefined,18463.099999904633,531.00,606.46
535.72,589.91,undefined,18511.599999904633,531.71,603.98
520.83,585.98,undefined,18558.900000095367,530.08,601.28
524.85,620.09,undefined,18609.700000047684,529.29,604.10
528.98,649.65,undefined,18658.700000047684,529.24,610.93
533.63,679.70,undefined,18709.900000095367,529.90,621.25
458.29,693.47,undefined,18764.5,519.16,632.08
448.10,693.82,undefined,18815.200000047684,508.50,641.34
446.66,693.15,undefined,18860.099999904633,499.23,649.11
449.79,721.64,undefined,18906.599999904633,491.81,659.99
463.96,720.91,undefined,18958.700000047684,487.63,669.13
473.44,732.15,undefined,19009.299999952316,485.50,678.58
482.75,740.94,undefined,19058.900000095367,485.09,687.93
471.80,734.53,undefined,19108.900000095367,483.10,694.92
463.84,721.49,undefined,19159.200000047684,480.21,698.91
510.43,720.35,undefined,19209.400000095367,484.74,702.13
551.92,739.89,undefined,19260.200000047684,494.82,707.79
562.08,706.93,undefined,19311.299999952316,504.91,707.66
582.67,693.98,undefined,19373.799999952316,516.57,705.61
646.40,714.67,undefined,19425,536.05,706.97
713.91,705.27,undefined,19477.5,562.73,706.71
790.84,674.88,undefined,19545.299999952316,596.94,701.94
781.51,654.32,undefined,19613.200000047684,624.63,694.80
