x,y,timestamp,targetX,targetY,user,error,dt_sec,in_bookshelf,in_sofa_web,in_sofa_game,in_phone,in_lamp,in_tv,in_files
193.0,281.0,4447.099999904633,193.0,281.0,1,,33.200000047683716,True,False,False,False,False,False,False
494.0,110.0,4478.700000047684,238.15,255.35,1,,31.600000143051147,False,False,False,False,False,False,False
393.0,206.0,4512.099999904633,261.38,247.95,1,,33.39999985694885,False,False,False,False,False,False,False
465.0,230.0,4545.399999856949,291.92,245.26,1,,33.299999952316284,False,False,False,False,False,False,False
487.0,97.0,4579.099999904633,321.18,223.02,1,,33.700000047683716,False,False,False,False,False,False,False
640.0,59.0,4612.299999952316,369.01,198.41,1,,33.200000047683716,False,False,False,False,False,False,False
396.0,199.0,4646.700000047684,373.05,198.5,1,,34.40000009536743,False,False,False,False,False,False,False
149.0,317.0,4679.200000047684,339.45,216.28,1,,32.5,True,False,False,False,False,False,False
110.0,160.0,4714.099999904633,305.03,207.84,1,,34.89999985694885,True,False,False,False,False,False,False
242.0,176.0,4746.200000047684,295.57,203.06,1,,32.10000014305115,True,False,False,False,False,False,False
148.0,255.0,4779.399999856949,273.44,210.85,1,,33.19999980926514,True,False,False,False,False,False,False
5.0,213.0,4812.700000047684,233.17,211.17,1,,33.30000019073486,False,False,False,False,False,False,False
172.0,200.0,4845.799999952316,224.0,209.5,1,,33.09999990463257,True,False,False,False,False,False,False
168.0,124.0,4872.299999952316,215.6,196.67,1,,26.5,True,False,False,False,False,False,False
112.0,110.0,4902.899999856949,200.06,183.67,1,,30.59999990463257,True,False,False,False,False,False,False
210.0,28.0,4948.700000047684,201.55,160.32,1,,45.80000019073486,False,False,False,False,False,False,False
138.0,39.0,4978.5,192.02,142.12,1,,29.799999952316284,True,False,False,False,False,False,False
69.0,69.0,5012.099999904633,173.56,131.15,1,,33.59999990463257,True,False,False,False,False,False,False
104.0,51.0,5046.099999904633,163.13,119.13,1,,34.0,True,False,False,False,False,False,False
88.0,41.0,5078.599999904633,151.86,107.41,1,,32.5,True,False,False,False,False,False,False
1.0,41.0,5145.599999904633,129.23,97.45,1,,67.0,False,False,False,False,False,False,False
117.0,37.0,5216.0,127.4,88.38,1,,70.40000009536743,True,False,False,False,False,False,False
105.0,46.0,5248.0,124.04,82.03,1,,32.0,True,False,False,False,False,False,False
169.0,55.0,5279.200000047684,130.78,77.97,1,,31.200000047683716,True,False,False,False,False,False,False
54.0,24.0,5312.899999856949,119.26,69.88,1,,33.69999980926514,False,False,False,False,False,False,False
159.0,33.0,5346.0,125.22,64.34,1,,33.10000014305115,False,False,False,False,False,False,False
50.0,34.0,5379.5,113.94,59.79,1,,33.5,False,False,False,False,False,False,False
159.0,32.0,5412.599999904633,120.7,55.62,1,,33.09999990463257,False,False,False,False,False,False,False
108.0,47.0,5446.099999904633,118.79,54.33,1,,33.5,True,False,False,False,False,False,False
26.0,24.0,5512.5,104.88,49.78,1,,66.40000009536743,False,False,False,False,False,False,False
7.0,22.0,5546.899999856949,90.19,45.61,1,,34.39999985694885,False,False,False,False,False,False,False
137.0,35.0,5579.0,97.22,44.02,1,,32.10000014305115,False,False,False,False,False,False,False
15.0,31.0,5614.200000047684,84.88,42.07,1,,35.200000047683716,False,False,False,False,False,False,False
71.0,39.0,5646.5,82.8,41.61,1,,32.299999952316284,True,False,False,False,False,False,False
75.0,46.0,5678.599999904633,81.63,42.27,1,,32.09999990463257,True,False,False,False,False,False,False
135.0,34.0,5712.599999904633,89.64,41.03,1,,34.0,False,False,False,False,False,False,False
46.0,30.0,5746.399999856949,83.09,39.37,1,,33.799999952316284,False,False,False,False,False,False,False
36.0,57.0,5779.5,76.03,42.02,1,,33.10000014305115,False,False,False,False,False,False,False
60.0,52.0,5812.5,73.62,43.51,1,,33.0,True,False,False,False,False,False,False
74.0,22.0,5879.299999952316,73.68,40.29,1,,66.79999995231628,False,False,False,False,False,False,False
21.0,43.0,5912.399999856949,65.78,40.69,1,,33.09999990463257,False,False,False,False,False,False,False
