x,y,error,timestamp,targetX,targetY
52.15,499.79,,3631.2999999523163,52.15,499.79
54.53,496.99,,3672.7999999523163,52.51,499.37
63.55,485.54,,3707.7999999523163,54.17,497.29
86.61,457.96,,3743.199999809265,59.03,491.39
119.55,422.49,,3776.5999999046326,68.11,481.06
176.51,362.19,,3809.2999999523163,84.37,463.23
236.05,304.97,,3841.699999809265,107.12,439.49
288.77,255.00,,3874.5,134.37,411.82
302.66,241.44,,3911.0999999046326,159.61,386.26
325.01,190.72,,3949.7999999523163,184.42,356.93
325.85,176.55,,3985.199999809265,205.64,329.87
285.67,151.23,,4023.0999999046326,217.64,303.07
265.62,133.97,,4057.7999999523163,224.84,277.71
233.08,122.92,,4090.7999999523163,226.08,254.49
213.32,129.23,,4132.399999856949,224.16,235.70
163.22,106.18,,4168.5,215.02,216.27
128.88,92.59,,4202.099999904633,202.10,197.72
99.28,80.40,,4237.899999856949,186.68,180.12
80.38,80.12,,4272.5,170.73,165.12
69.38,84.43,,4305.699999809265,155.53,153.02
45.02,75.77,,4344.5,138.95,141.43
21.64,65.76,,4381,121.36,130.08
22.44,59.21,,4416.399999856949,106.52,119.45
3.24,30.54,,4529.199999809265,91.03,106.11
7.86,29.10,,4568.899999856949,78.55,94.56
14.25,25.37,,4603.599999904633,68.91,84.18
20.33,27.12,,4640,61.62,75.62
27.99,40.76,,4682.399999856949,56.58,70.39
27.62,47.09,,4719.399999856949,52.23,66.90
51.64,63.86,,4754.899999856949,52.14,66.44
68.62,70.24,,4799.5,54.62,67.01
77.08,75.83,,4839.699999809265,57.99,68.34
76.99,70.46,,4877,60.84,68.65
77.68,66.43,,4911.699999809265,63.36,68.32
82.25,68.64,,4949.099999904633,66.20,68.37
82.08,66.81,,4989.199999809265,68.58,68.13
79.67,63.89,,5024.5,70.24,67.50
98.74,93.05,,5060.899999856949,74.52,71.33
95.32,87.50,,5101.5,77.64,73.76
92.13,84.94,,5136.5,79.81,75.43
99.23,93.70,,5172.299999952316,82.72,78.17
105.76,103.56,,5206.5,86.18,81.98
90.27,87.00,,5244.799999952316,86.79,82.74
82.18,78.76,,5280.699999809265,86.10,82.14
75.21,71.66,,5319,84.47,80.57
68.04,65.93,,5355.099999904633,82.00,78.37
59.48,58.88,,5393.5,78.63,75.45
53.00,55.22,,5427.899999856949,74.78,72.41
44.46,46.93,,5461.5,70.23,68.59
43.37,44.40,,5512,66.20,64.96
30.39,41.90,,5546.299999952316,60.83,61.50
19.80,41.22,,5580.5,54.68,58.46
11.40,41.02,,5614.099999904633,48.19,55.84
28.49,46.17,,5650.5,45.23,54.39
51.08,58.69,,5685.899999856949,46.11,55.04
66.68,66.61,,5720.799999952316,49.19,56.77
78.26,72.74,,5755.299999952316,53.55,59.17
80.43,71.21,,5788.299999952316,57.59,60.97
78.63,66.23,,5835.799999952316,60.74,61.76
82.92,67.29,,5872.899999856949,64.07,62.59
92.76,73.86,,5905.099999904633,68.37,64.28
95.25,74.11,,5935.5,72.40,65.76
107.09,82.78,,5969.899999856949,77.61,68.31
118.52,95.73,,6001.299999952316,83.74,72.42
109.34,87.87,,6034.5,87.58,74.74
107.13,87.27,,6081.299999952316,90.52,76.62
108.74,90.69,,6114,93.25,78.73
103.24,88.67,,6147.599999904633,94.75,80.22
94.33,84.10,,6182,94.68,80.80
81.88,72.46,,6215.599999904633,92.76,79.55
69.21,60.67,,6250.5,89.23,76.72
62.06,52.62,,6283.199999809265,85.15,73.10
53.51,44.78,,6314.299999952316,80.41,68.85
58.74,50.58,,6347.5,77.16,66.11
54.56,47.60,,6380.899999856949,73.77,63.34
51.37,45.38,,6413.899999856949,70.41,60.64
52.44,48.26,,6447.899999856949,67.71,58.79
58.71,58.07,,6480.799999952316,66.36,58.68
64.33,66.62,,6514.099999904633,66.06,59.87
69.27,73.90,,6547.5,66.54,61.97
72.18,72.36,,6581.899999856949,67.38,63.53
73.30,68.98,,6632.599999904633,68.27,64.35
58.45,49.18,,6665.699999809265,66.80,62.08
