x,y,timestamp,targetX,targetY
52.06,499.79,1919.6000001430511,52.06,499.79
52.81,497.32,1954.7000000476837,52.17,499.42
55.95,488.32,1993.5,52.74,497.76
62.94,467.11,2030.9000000953674,54.27,493.16
74.29,429.10,2069.4000000953674,57.27,483.55
89.42,374.29,2111.7000000476837,62.10,467.16
86.61,317.60,2158.2000000476837,65.77,444.73
101.39,256.94,2200,71.11,416.56
117.23,206.16,2242.600000143051,78.03,385.00
88.16,211.87,2283.4000000953674,79.55,359.03
43.14,242.67,2324.9000000953674,74.09,341.57
22.14,199.18,2651.300000190735,66.30,320.22
34.21,168.87,2689.9000000953674,61.48,297.51
43.61,142.43,2725.9000000953674,58.80,274.25
51.62,117.65,2763.2000000476837,57.73,250.76
66.70,80.83,2795.600000143051,59.07,225.27
78.63,47.84,2835.600000143051,62.00,198.66
79.63,46.31,2878,64.65,175.80
79.84,32.28,2918.2000000476837,66.93,154.28
79.25,22.86,2954.600000143051,68.78,134.56
87.51,14.61,2996.5,71.59,116.57
93.98,9.76,3053.5,74.95,100.55
103.33,25.42,3093.5,79.20,89.28
109.60,39.97,3129.800000190735,83.76,81.88
114.25,53.56,3177.600000143051,88.34,77.63
118.56,51.00,3213.100000143051,92.87,73.64
114.50,49.27,3248.800000190735,96.11,69.98
107.01,49.26,3283.800000190735,97.75,66.88
103.05,49.38,3314.800000190735,98.54,64.25
99.41,49.81,3352.2000000476837,98.67,62.09
92.75,50.19,3387.9000000953674,97.78,60.30
94.33,53.62,3433.9000000953674,97.27,59.30
88.40,53.85,3465,95.94,58.48
78.66,53.87,3498.2000000476837,93.35,57.79
69.19,41.68,3537.800000190735,89.72,55.37
62.18,34.26,3573.2000000476837,85.59,52.21
55.03,34.23,3620.9000000953674,81.01,49.51
51.75,32.73,3669.100000143051,76.62,46.99
42.91,31.23,3720.300000190735,71.56,44.63
42.16,32.32,3752.300000190735,67.15,42.78
38.40,31.16,3786.300000190735,62.84,41.04
34.91,28.28,3820.2000000476837,58.65,39.12
34.51,26.28,3858.600000143051,55.03,37.20
42.22,30.03,3891.7000000476837,53.11,36.12
49.43,33.44,3924.100000143051,52.56,35.72
50.28,33.83,3956.300000190735,52.21,35.44
50.26,32.63,3989.9000000953674,51.92,35.02
47.66,31.12,4021.4000000953674,51.28,34.43
45.48,29.88,4052.4000000953674,50.41,33.75
47.61,30.47,4086.7000000476837,49.99,33.26
46.38,29.99,4123.700000047684,49.45,32.77
92.75,28.85,4161.600000143051,55.95,32.18
109.72,16.16,4196.100000143051,64.01,29.78
133.35,7.53,4234.100000143051,74.41,26.44
199.38,13.81,4273.200000047684,93.16,24.55
245.69,19.53,4306.800000190735,116.04,23.79
303.63,25.91,4340.700000047684,144.18,24.11
311.82,45.29,4378.700000047684,169.32,27.29
310.65,51.51,4420.400000095367,190.52,30.92
278.82,120.31,4464.400000095367,203.77,44.33
225.30,92.27,4503.800000190735,207.00,51.52
170.48,79.22,4543.600000143051,201.52,55.68
19.36,250.27,4581.5,174.19,84.87
4.92,306.38,4924.5,148.80,118.09
99.33,248.67,4964.300000190735,141.38,137.68
171.25,183.96,5022.300000190735,145.86,144.62
273.72,123.74,5062.800000190735,165.04,141.49
291.46,129.37,5109.700000047684,184.00,139.67
388.05,66.17,5148.600000143051,214.61,128.65
433.81,28.92,5203.700000047684,247.49,113.69
453.72,27.71,5241.5,278.42,100.79
482.04,25.82,5282.600000143051,308.97,89.55
526.63,3.74,5319.100000143051,341.62,76.67
540.06,12.03,5609.700000047684,371.38,66.98
536.84,23.27,5645.400000095367,396.20,60.42
532.92,27.73,5686.800000190735,416.71,55.52
517.39,30.88,5725.200000047684,431.81,51.82
514.71,34.39,5768.400000095367,444.25,49.21
516.25,38.15,5820,455.05,47.55
516.78,41.02,5855.800000190735,464.31,46.57
516.46,43.33,5903.100000143051,472.13,46.08
514.13,44.10,5938.600000143051,478.43,45.79
523.75,46.41,5984.600000143051,485.23,45.88
522.39,47.96,6032.900000095367,490.80,46.19
515.48,48.58,6086.800000190735,494.50,46.55
513.33,47.11,6125.300000190735,497.33,46.63
499.15,44.13,6161.100000143051,497.60,46.26
494.69,42.79,6195.400000095367,497.16,45.74
488.24,41.62,6231.100000143051,495.82,45.12
503.19,41.92,6266.900000095367,496.93,44.64
529.59,44.01,6303,501.83,44.55
552.60,43.70,6345.700000047684,509.44,44.42
521.74,84.50,6390.400000095367,511.29,50.43
442.69,186.16,6428,501.00,70.79
367.80,263.23,6467.600000143051,481.02,99.66
280.51,252.61,6510.100000143051,450.94,122.60
215.45,361.23,6548.800000190735,415.62,158.39
157.83,445.72,6581.600000143051,376.95,201.49
47.19,466.14,6623.400000095367,327.49,241.19
25.06,526.26,6657.900000095367,282.12,283.95
10.80,513.22,6704.800000190735,241.42,318.34
83.90,475.34,6749.600000143051,217.79,341.89
137.54,449.22,6792.700000047684,205.76,357.99
153.35,447.93,6837,197.90,371.48
322.56,379.35,6880.200000047684,216.59,372.66
394.25,351.48,6923,243.24,369.48
461.45,319.04,6964,275.97,361.92
493.06,302.04,7008.400000095367,308.54,352.93
592.13,267.52,7050.700000047684,351.08,340.12
630.28,235.28,7097.200000047684,392.96,324.40
702.41,211.68,7146.5,439.37,307.49
767.13,176.12,7186.800000190735,488.54,287.78
813.52,195.96,7226.700000047684,537.29,274.01
859.21,182.34,7282.100000143051,585.57,260.26
886.04,152.41,7325.100000143051,630.64,244.08
856.84,165.16,7382.400000095367,664.57,232.24
880.88,197.71,7432.800000190735,697.02,227.06
899.87,214.92,7483.200000047684,727.45,225.24
882.56,241.13,7522.100000143051,750.71,227.62
864.45,263.60,7559.5,767.77,233.02
892.26,239.76,7618.900000095367,786.45,234.03
899.62,236.42,7664,803.42,234.39
909.56,241.83,7710.400000095367,819.34,235.51
905.39,224.41,7765.800000190735,832.25,233.84
891.70,208.42,7815.900000095367,841.17,230.03
881.77,192.40,7865.700000047684,847.26,224.38
900.10,186.79,7915.900000095367,855.18,218.75
